asset,tool,sensitivity,blast,impact,score,band
public-website,create_or_update_file,1,1,3,3,medium
public-website,search_repositories,1,2,1,2,low
public-website,create_repository,1,1,2,2,low
public-website,get_file_contents,1,1,1,1,low
public-website,push_files,1,2,3,6,medium
public-website,create_issue,1,2,1,2,low
public-website,create_pull_request,1,2,2,4,low
public-website,fork_repository,1,2,1,2,low
public-website,create_branch,1,2,2,4,low
public-website,list_commits,1,2,1,2,low
public-website,list_issues,1,4,1,4,low
public-website,update_issue,1,2,2,4,low
public-website,add_issue_comment,1,1,1,1,low
public-website,search_code,1,4,1,4,low
public-website,search_issues,1,2,1,2,low
public-website,search_users,1,1,1,1,low
public-website,get_issue,1,2,1,2,low
public-website,get_pull_request,1,1,1,1,low
public-website,list_pull_requests,1,2,1,2,low
public-website,create_pull_request_review,1,2,1,2,low
public-website,merge_pull_request,1,2,3,6,medium
public-website,get_pull_request_files,1,2,1,2,low
public-website,get_pull_request_status,1,2,1,2,low
public-website,update_pull_request_branch,1,2,2,4,low
public-website,get_pull_request_comments,1,2,1,2,low
public-website,get_pull_request_reviews,1,2,1,2,low
internal-docs,create_or_update_file,3,2,3,18,high
internal-docs,search_repositories,3,2,1,6,low
internal-docs,create_repository,3,1,2,6,low
internal-docs,get_file_contents,3,1,1,3,low
internal-docs,push_files,3,2,3,18,high
internal-docs,create_issue,3,2,1,6,low
internal-docs,create_pull_request,3,2,2,12,medium
internal-docs,fork_repository,3,2,1,6,low
internal-docs,create_branch,3,2,2,12,medium
internal-docs,list_commits,3,2,1,6,low
internal-docs,list_issues,3,4,1,12,medium
internal-docs,update_issue,3,2,2,12,medium
internal-docs,add_issue_comment,3,1,1,3,low
internal-docs,search_code,3,4,1,12,medium
internal-docs,search_issues,3,2,1,6,low
internal-docs,search_users,3,1,1,3,low
internal-docs,get_issue,3,2,1,6,low
internal-docs,get_pull_request,3,1,1,3,low
internal-docs,list_pull_requests,3,2,1,6,low
internal-docs,create_pull_request_review,3,2,1,6,low
internal-docs,merge_pull_request,3,2,3,18,high
internal-docs,get_pull_request_files,3,2,1,6,low
internal-docs,get_pull_request_status,3,2,1,6,low
internal-docs,update_pull_request_branch,3,2,2,12,medium
internal-docs,get_pull_request_comments,3,2,1,6,low
internal-docs,get_pull_request_reviews,3,2,1,6,low
backend-api,create_or_update_file,4,2,3,24,high
backend-api,search_repositories,4,2,1,8,medium
backend-api,create_repository,4,1,2,8,medium
backend-api,get_file_contents,4,1,1,4,medium
backend-api,push_files,4,2,3,24,high
backend-api,create_issue,4,2,1,8,medium
backend-api,create_pull_request,4,2,2,16,medium
backend-api,fork_repository,4,2,1,8,medium
backend-api,create_branch,4,2,2,16,medium
backend-api,list_commits,4,2,1,8,medium
backend-api,list_issues,4,2,1,8,medium
backend-api,update_issue,4,1,2,8,medium
backend-api,add_issue_comment,4,1,1,4,medium
backend-api,search_code,4,4,1,16,high
backend-api,search_issues,4,2,1,8,medium
backend-api,search_users,4,1,1,4,medium
backend-api,get_issue,4,2,1,8,medium
backend-api,get_pull_request,4,2,1,8,medium
backend-api,list_pull_requests,4,2,1,8,medium
backend-api,create_pull_request_review,4,2,1,8,medium
backend-api,merge_pull_request,4,2,3,24,high
backend-api,get_pull_request_files,4,2,1,8,medium
backend-api,get_pull_request_status,4,2,1,8,medium
backend-api,update_pull_request_branch,4,2,2,16,medium
backend-api,get_pull_request_comments,4,2,1,8,medium
backend-api,get_pull_request_reviews,4,2,1,8,medium
payments-service,create_or_update_file,4,2,3,24,high
payments-service,search_repositories,4,2,1,8,medium
payments-service,create_repository,4,1,2,8,medium
payments-service,get_file_contents,4,2,1,8,medium
payments-service,push_files,4,2,3,24,high
payments-service,create_issue,4,2,1,8,medium
payments-service,create_pull_request,4,2,2,16,medium
payments-service,fork_repository,4,2,1,8,medium
payments-service,create_branch,4,2,2,16,medium
payments-service,list_commits,4,2,1,8,medium
payments-service,list_issues,4,2,1,8,medium
payments-service,update_issue,4,2,2,16,medium
payments-service,add_issue_comment,4,1,1,4,medium
payments-service,search_code,4,4,1,16,high
payments-service,search_issues,4,2,1,8,medium
payments-service,search_users,4,1,1,4,medium
payments-service,get_issue,4,2,1,8,medium
payments-service,get_pull_request,4,2,1,8,medium
payments-service,list_pull_requests,4,2,1,8,medium
payments-service,create_pull_request_review,4,2,1,8,medium
payments-service,merge_pull_request,4,2,3,24,high
payments-service,get_pull_request_files,4,2,1,8,medium
payments-service,get_pull_request_status,4,2,1,8,medium
payments-service,update_pull_request_branch,4,2,2,16,medium
payments-service,get_pull_request_comments,4,2,1,8,medium
payments-service,get_pull_request_reviews,4,2,1,8,medium
infra-config,create_or_update_file,5,1,3,15,high
infra-config,search_repositories,5,2,1,10,medium
infra-config,create_repository,5,1,2,10,high
infra-config,get_file_contents,5,1,1,5,medium
infra-config,push_files,5,2,3,30,high
infra-config,create_issue,5,1,1,5,medium
infra-config,create_pull_request,5,2,2,20,high
infra-config,fork_repository,5,2,1,10,medium
infra-config,create_branch,5,2,2,20,high
infra-config,list_commits,5,2,1,10,medium
infra-config,list_issues,5,2,1,10,medium
infra-config,update_issue,5,1,2,10,high
infra-config,add_issue_comment,5,1,1,5,medium
infra-config,search_code,5,4,1,20,high
infra-config,search_issues,5,1,1,5,medium
infra-config,search_users,5,1,1,5,medium
infra-config,get_issue,5,1,1,5,medium
infra-config,get_pull_request,5,2,1,10,medium
infra-config,list_pull_requests,5,2,1,10,medium
infra-config,create_pull_request_review,5,2,1,10,medium
infra-config,merge_pull_request,5,2,3,30,high
infra-config,get_pull_request_files,5,4,1,20,high
infra-config,get_pull_request_status,5,2,1,10,medium
infra-config,update_pull_request_branch,5,2,2,20,high
infra-config,get_pull_request_comments,5,2,1,10,medium
infra-config,get_pull_request_reviews,5,2,1,10,medium
ml-research,create_or_update_file,4,1,3,12,high
ml-research,search_repositories,4,2,1,8,medium
ml-research,create_repository,4,1,2,8,medium
ml-research,get_file_contents,4,1,1,4,medium
ml-research,push_files,4,2,3,24,high
ml-research,create_issue,4,2,1,8,medium
ml-research,create_pull_request,4,2,2,16,medium
ml-research,fork_repository,4,2,1,8,medium
ml-research,create_branch,4,2,2,16,medium
ml-research,list_commits,4,2,1,8,medium
ml-research,list_issues,4,2,1,8,medium
ml-research,update_issue,4,2,2,16,medium
ml-research,add_issue_comment,4,2,1,8,medium
ml-research,search_code,4,4,1,16,high
ml-research,search_issues,4,2,1,8,medium
ml-research,search_users,4,1,1,4,medium
ml-research,get_issue,4,2,1,8,medium
ml-research,get_pull_request,4,1,1,4,medium
ml-research,list_pull_requests,4,2,1,8,medium
ml-research,create_pull_request_review,4,2,1,8,medium
ml-research,merge_pull_request,4,2,3,24,high
ml-research,get_pull_request_files,4,2,1,8,medium
ml-research,get_pull_request_status,4,2,1,8,medium
ml-research,update_pull_request_branch,4,2,2,16,medium
ml-research,get_pull_request_comments,4,4,1,16,high
ml-research,get_pull_request_reviews,4,2,1,8,medium
