asset,tool,sensitivity,blast,impact,score,band
general,channels_list,1,4,1,4,low
general,channels_me,1,2,1,2,low
general,conversations_add_message,1,2,1,2,low
general,conversations_history,1,4,1,4,low
general,conversations_join,1,2,2,4,low
general,conversations_leave,1,2,2,4,low
general,conversations_mark,1,2,1,2,low
general,conversations_replies,1,4,1,4,low
general,conversations_search_messages,1,4,1,4,low
general,conversations_unreads,1,4,1,4,low
general,usergroups_create,1,1,2,2,low
general,usergroups_list,1,1,1,1,low
general,usergroups_me,1,1,2,2,low
general,usergroups_update,1,1,2,2,low
general,usergroups_users_update,1,1,3,3,medium
general,users_search,1,1,1,1,low
announcements,channels_list,1,2,1,2,low
announcements,channels_me,1,2,1,2,low
announcements,conversations_add_message,1,2,1,2,low
announcements,conversations_history,1,4,1,4,low
announcements,conversations_join,1,2,2,4,low
announcements,conversations_leave,1,2,2,4,low
announcements,conversations_mark,1,2,1,2,low
announcements,conversations_replies,1,4,1,4,low
announcements,conversations_search_messages,1,4,1,4,low
announcements,conversations_unreads,1,4,1,4,low
announcements,usergroups_create,1,1,2,2,low
announcements,usergroups_list,1,1,1,1,low
announcements,usergroups_me,1,1,2,2,low
announcements,usergroups_update,1,1,2,2,low
announcements,usergroups_users_update,1,1,3,3,medium
announcements,users_search,1,1,1,1,low
random,channels_list,1,4,1,4,low
random,channels_me,1,2,1,2,low
random,conversations_add_message,1,2,1,2,low
random,conversations_history,1,4,1,4,low
random,conversations_join,1,2,2,4,low
random,conversations_leave,1,2,2,4,low
random,conversations_mark,1,2,1,2,low
random,conversations_replies,1,4,1,4,low
random,conversations_search_messages,1,4,1,4,low
random,conversations_unreads,1,4,1,4,low
random,usergroups_create,1,1,2,2,low
random,usergroups_list,1,1,1,1,low
random,usergroups_me,1,1,2,2,low
random,usergroups_update,1,1,2,2,low
random,usergroups_users_update,1,1,3,3,medium
random,users_search,1,1,1,1,low
engineering,channels_list,3,1,1,3,low
engineering,channels_me,3,2,1,6,low
engineering,conversations_add_message,3,2,1,6,low
engineering,conversations_history,3,4,1,12,medium
engineering,conversations_join,3,2,2,12,medium
engineering,conversations_leave,3,2,2,12,medium
engineering,conversations_mark,3,2,1,6,low
engineering,conversations_replies,3,4,1,12,medium
engineering,conversations_search_messages,3,4,1,12,medium
engineering,conversations_unreads,3,4,1,12,medium
engineering,usergroups_create,3,1,2,6,low
engineering,usergroups_list,3,1,1,3,low
engineering,usergroups_me,3,1,2,6,low
engineering,usergroups_update,3,1,2,6,low
engineering,usergroups_users_update,3,1,3,9,high
engineering,users_search,3,1,1,3,low
incident-response,channels_list,4,1,1,4,medium
incident-response,channels_me,4,2,1,8,medium
incident-response,conversations_add_message,4,2,1,8,medium
incident-response,conversations_history,4,4,1,16,high
incident-response,conversations_join,4,2,2,16,medium
incident-response,conversations_leave,4,2,2,16,medium
incident-response,conversations_mark,4,2,1,8,medium
incident-response,conversations_replies,4,4,1,16,high
incident-response,conversations_search_messages,4,4,1,16,high
incident-response,conversations_unreads,4,4,1,16,high
incident-response,usergroups_create,4,1,2,8,medium
incident-response,usergroups_list,4,1,1,4,medium
incident-response,usergroups_me,4,1,2,8,medium
incident-response,usergroups_update,4,1,2,8,medium
incident-response,usergroups_users_update,4,1,3,12,high
incident-response,users_search,4,1,1,4,medium
on-call,channels_list,4,1,1,4,medium
on-call,channels_me,4,2,1,8,medium
on-call,conversations_add_message,4,2,1,8,medium
on-call,conversations_history,4,4,1,16,high
on-call,conversations_join,4,2,2,16,medium
on-call,conversations_leave,4,2,2,16,medium
on-call,conversations_mark,4,2,1,8,medium
on-call,conversations_replies,4,4,1,16,high
on-call,conversations_search_messages,4,4,1,16,high
on-call,conversations_unreads,4,4,1,16,high
on-call,usergroups_create,4,1,2,8,medium
on-call,usergroups_list,4,1,1,4,medium
on-call,usergroups_me,4,1,2,8,medium
on-call,usergroups_update,4,1,2,8,medium
on-call,usergroups_users_update,4,1,3,12,high
on-call,users_search,4,1,1,4,medium
research-team,channels_list,3,1,1,3,low
research-team,channels_me,3,2,1,6,low
research-team,conversations_add_message,3,2,1,6,low
research-team,conversations_history,3,4,1,12,medium
research-team,conversations_join,3,2,2,12,medium
research-team,conversations_leave,3,2,2,12,medium
research-team,conversations_mark,3,2,1,6,low
research-team,conversations_replies,3,4,1,12,medium
research-team,conversations_search_messages,3,4,1,12,medium
research-team,conversations_unreads,3,4,1,12,medium
research-team,usergroups_create,3,1,2,6,low
research-team,usergroups_list,3,1,1,3,low
research-team,usergroups_me,3,1,2,6,low
research-team,usergroups_update,3,1,2,6,low
research-team,usergroups_users_update,3,1,3,9,high
research-team,users_search,3,1,1,3,low
exec-private,channels_list,4,1,1,4,medium
exec-private,channels_me,4,2,1,8,medium
exec-private,conversations_add_message,4,2,1,8,medium
exec-private,conversations_history,4,4,1,16,high
exec-private,conversations_join,4,2,2,16,medium
exec-private,conversations_leave,4,2,2,16,medium
exec-private,conversations_mark,4,2,1,8,medium
exec-private,conversations_replies,4,4,1,16,high
exec-private,conversations_search_messages,4,4,1,16,high
exec-private,conversations_unreads,4,4,1,16,high
exec-private,usergroups_create,4,1,2,8,medium
exec-private,usergroups_list,4,1,1,4,medium
exec-private,usergroups_me,4,1,2,8,medium
exec-private,usergroups_update,4,1,2,8,medium
exec-private,usergroups_users_update,4,1,3,12,high
exec-private,users_search,4,1,1,4,medium
hr-internal,channels_list,4,1,1,4,medium
hr-internal,channels_me,4,1,1,4,medium
hr-internal,conversations_add_message,4,2,1,8,medium
hr-internal,conversations_history,4,4,1,16,high
hr-internal,conversations_join,4,2,2,16,medium
hr-internal,conversations_leave,4,2,2,16,medium
hr-internal,conversations_mark,4,2,1,8,medium
hr-internal,conversations_replies,4,4,1,16,high
hr-internal,conversations_search_messages,4,4,1,16,high
hr-internal,conversations_unreads,4,4,1,16,high
hr-internal,usergroups_create,4,1,2,8,medium
hr-internal,usergroups_list,4,1,1,4,medium
hr-internal,usergroups_me,4,1,2,8,medium
hr-internal,usergroups_update,4,1,2,8,medium
hr-internal,usergroups_users_update,4,1,3,12,high
hr-internal,users_search,4,1,1,4,medium
team-leads,channels_list,4,1,1,4,medium
team-leads,channels_me,4,2,1,8,medium
team-leads,conversations_add_message,4,2,1,8,medium
team-leads,conversations_history,4,4,1,16,high
team-leads,conversations_join,4,2,2,16,medium
team-leads,conversations_leave,4,2,2,16,medium
team-leads,conversations_mark,4,2,1,8,medium
team-leads,conversations_replies,4,4,1,16,high
team-leads,conversations_search_messages,4,4,1,16,high
team-leads,conversations_unreads,4,4,1,16,high
team-leads,usergroups_create,4,1,2,8,medium
team-leads,usergroups_list,4,1,1,4,medium
team-leads,usergroups_me,4,1,2,8,medium
team-leads,usergroups_update,4,1,2,8,medium
team-leads,usergroups_users_update,4,1,3,12,high
team-leads,users_search,4,1,1,4,medium
