asset,tool,score,band
personal,list_calendars,16.0,high
personal,list_events,16.0,high
personal,list_week,16.0,high
personal,get_event,4.0,medium
personal,find_free_slot,16.0,high
personal,access_contacts,4.0,medium
personal,create_event,16.0,medium
personal,update_event,16.0,medium
personal,send_email_invite,24.0,high
personal,delete_event,24.0,high
personal,delete_all_events,48.0,critical
team,list_calendars,12.0,medium
team,list_events,12.0,medium
team,list_week,12.0,medium
team,get_event,3.0,low
team,find_free_slot,12.0,medium
team,access_contacts,12.0,medium
team,create_event,12.0,medium
team,update_event,12.0,medium
team,send_email_invite,18.0,high
team,delete_event,18.0,high
team,delete_all_events,36.0,high
executive,list_calendars,16.0,high
executive,list_events,16.0,high
executive,list_week,16.0,high
executive,get_event,4.0,medium
executive,find_free_slot,16.0,high
executive,access_contacts,4.0,medium
executive,create_event,16.0,medium
executive,update_event,16.0,medium
executive,send_email_invite,24.0,high
executive,delete_event,24.0,high
executive,delete_all_events,48.0,critical
recruiting,list_calendars,16.0,high
recruiting,list_events,16.0,high
recruiting,list_week,16.0,high
recruiting,get_event,4.0,medium
recruiting,find_free_slot,16.0,high
recruiting,access_contacts,16.0,high
recruiting,create_event,16.0,medium
recruiting,update_event,16.0,medium
recruiting,send_email_invite,24.0,high
recruiting,delete_event,24.0,high
recruiting,delete_all_events,48.0,critical
contacts,list_calendars,20.0,high
contacts,list_events,20.0,high
contacts,list_week,20.0,high
contacts,get_event,5.0,medium
contacts,find_free_slot,20.0,high
contacts,access_contacts,20.0,high
contacts,create_event,20.0,high
contacts,update_event,20.0,high
contacts,send_email_invite,30.0,high
contacts,delete_event,30.0,high
contacts,delete_all_events,60.0,critical
holidays,list_calendars,4.0,low
holidays,list_events,4.0,low
holidays,list_week,4.0,low
holidays,get_event,1.0,low
holidays,find_free_slot,4.0,low
holidays,access_contacts,4.0,low
holidays,create_event,4.0,low
holidays,update_event,4.0,low
holidays,send_email_invite,6.0,medium
holidays,delete_event,6.0,medium
holidays,delete_all_events,12.0,medium
