asset,tool,score,band
personal,list-calendars,12.0,medium
personal,list-events,12.0,medium
personal,search-events,12.0,medium
personal,get-event,3.0,low
personal,list-colors,12.0,medium
personal,create-event,18.0,high
personal,create-events,27.0,high
personal,update-event,18.0,high
personal,delete-event,18.0,high
personal,get-freebusy,12.0,medium
personal,get-current-time,3.0,low
personal,respond-to-event,12.0,medium
personal,manage-accounts,6.0,low
team,list-calendars,16.0,high
team,list-events,16.0,high
team,search-events,16.0,high
team,get-event,4.0,medium
team,list-colors,16.0,high
team,create-event,24.0,high
team,create-events,48.0,critical
team,update-event,36.0,high
team,delete-event,24.0,high
team,get-freebusy,16.0,high
team,get-current-time,4.0,medium
team,respond-to-event,16.0,medium
team,manage-accounts,16.0,medium
executive,list-calendars,16.0,high
executive,list-events,16.0,high
executive,search-events,16.0,high
executive,get-event,4.0,medium
executive,list-colors,16.0,high
executive,create-event,24.0,high
executive,create-events,48.0,critical
executive,update-event,36.0,high
executive,delete-event,36.0,high
executive,get-freebusy,16.0,high
executive,get-current-time,4.0,medium
executive,respond-to-event,16.0,medium
executive,manage-accounts,16.0,medium
recruiting,list-calendars,16.0,high
recruiting,list-events,16.0,high
recruiting,search-events,16.0,high
recruiting,get-event,8.0,medium
recruiting,list-colors,16.0,high
recruiting,create-event,36.0,high
recruiting,create-events,48.0,critical
recruiting,update-event,48.0,critical
recruiting,delete-event,60.0,critical
recruiting,get-freebusy,16.0,high
recruiting,get-current-time,4.0,medium
recruiting,respond-to-event,16.0,medium
recruiting,manage-accounts,16.0,medium
contacts,list-calendars,16.0,high
contacts,list-events,16.0,high
contacts,search-events,16.0,high
contacts,get-event,8.0,medium
contacts,list-colors,16.0,high
contacts,create-event,24.0,high
contacts,create-events,48.0,critical
contacts,update-event,36.0,high
contacts,delete-event,24.0,high
contacts,get-freebusy,16.0,high
contacts,get-current-time,4.0,medium
contacts,respond-to-event,16.0,medium
contacts,manage-accounts,32.0,high
holidays,list-calendars,4.0,low
holidays,list-events,4.0,low
holidays,search-events,4.0,low
holidays,get-event,1.0,low
holidays,list-colors,4.0,low
holidays,create-event,6.0,medium
holidays,create-events,12.0,medium
holidays,update-event,6.0,medium
holidays,delete-event,6.0,medium
holidays,get-freebusy,4.0,low
holidays,get-current-time,1.0,low
holidays,respond-to-event,4.0,low
holidays,manage-accounts,0.0,low
