asset,tool,score,band
README.md,read_file,1.0,low
README.md,read_text_file,1.0,low
README.md,read_media_file,1.0,low
README.md,read_multiple_files,1.0,low
README.md,write_file,6.0,medium
README.md,edit_file,6.0,medium
README.md,create_directory,0.0,low
README.md,list_directory,1.0,low
README.md,list_directory_with_sizes,1.0,low
README.md,directory_tree,1.0,low
README.md,move_file,6.0,medium
README.md,search_files,1.0,low
README.md,get_file_info,1.0,low
README.md,list_allowed_directories,1.0,low
onboarding/org_chart.png,read_file,2.0,low
onboarding/org_chart.png,read_text_file,2.0,low
onboarding/org_chart.png,read_media_file,2.0,low
onboarding/org_chart.png,read_multiple_files,2.0,low
onboarding/org_chart.png,write_file,12.0,medium
onboarding/org_chart.png,edit_file,12.0,medium
onboarding/org_chart.png,create_directory,0.0,low
onboarding/org_chart.png,list_directory,2.0,low
onboarding/org_chart.png,list_directory_with_sizes,2.0,low
onboarding/org_chart.png,directory_tree,2.0,low
onboarding/org_chart.png,move_file,12.0,medium
onboarding/org_chart.png,search_files,2.0,low
onboarding/org_chart.png,get_file_info,2.0,low
onboarding/org_chart.png,list_allowed_directories,2.0,low
projects/db_schema.sql,read_file,4.0,medium
projects/db_schema.sql,read_text_file,4.0,medium
projects/db_schema.sql,read_media_file,4.0,medium
projects/db_schema.sql,read_multiple_files,4.0,medium
projects/db_schema.sql,write_file,24.0,high
projects/db_schema.sql,edit_file,24.0,high
projects/db_schema.sql,create_directory,0.0,low
projects/db_schema.sql,list_directory,4.0,medium
projects/db_schema.sql,list_directory_with_sizes,4.0,medium
projects/db_schema.sql,directory_tree,4.0,medium
projects/db_schema.sql,move_file,24.0,high
projects/db_schema.sql,search_files,4.0,medium
projects/db_schema.sql,get_file_info,4.0,medium
projects/db_schema.sql,list_allowed_directories,4.0,medium
projects/known_defects.csv,read_file,3.0,low
projects/known_defects.csv,read_text_file,3.0,low
projects/known_defects.csv,read_media_file,3.0,low
projects/known_defects.csv,read_multiple_files,3.0,low
projects/known_defects.csv,write_file,18.0,high
projects/known_defects.csv,edit_file,18.0,high
projects/known_defects.csv,create_directory,0.0,low
projects/known_defects.csv,list_directory,3.0,low
projects/known_defects.csv,list_directory_with_sizes,3.0,low
projects/known_defects.csv,directory_tree,3.0,low
projects/known_defects.csv,move_file,18.0,high
projects/known_defects.csv,search_files,3.0,low
projects/known_defects.csv,get_file_info,3.0,low
projects/known_defects.csv,list_allowed_directories,3.0,low
sensitive/financials/payslips_q1.csv,read_file,8.0,medium
sensitive/financials/payslips_q1.csv,read_text_file,8.0,medium
sensitive/financials/payslips_q1.csv,read_media_file,4.0,medium
sensitive/financials/payslips_q1.csv,read_multiple_files,16.0,high
sensitive/financials/payslips_q1.csv,write_file,24.0,high
sensitive/financials/payslips_q1.csv,edit_file,24.0,high
sensitive/financials/payslips_q1.csv,create_directory,0.0,low
sensitive/financials/payslips_q1.csv,list_directory,4.0,medium
sensitive/financials/payslips_q1.csv,list_directory_with_sizes,4.0,medium
sensitive/financials/payslips_q1.csv,directory_tree,4.0,medium
sensitive/financials/payslips_q1.csv,move_file,24.0,high
sensitive/financials/payslips_q1.csv,search_files,8.0,medium
sensitive/financials/payslips_q1.csv,get_file_info,4.0,medium
sensitive/financials/payslips_q1.csv,list_allowed_directories,4.0,medium
sensitive/security/audit_log.txt,read_file,4.0,medium
sensitive/security/audit_log.txt,read_text_file,8.0,medium
sensitive/security/audit_log.txt,read_media_file,4.0,medium
sensitive/security/audit_log.txt,read_multiple_files,16.0,high
sensitive/security/audit_log.txt,write_file,24.0,high
sensitive/security/audit_log.txt,edit_file,24.0,high
sensitive/security/audit_log.txt,create_directory,0.0,low
sensitive/security/audit_log.txt,list_directory,4.0,medium
sensitive/security/audit_log.txt,list_directory_with_sizes,4.0,medium
sensitive/security/audit_log.txt,directory_tree,4.0,medium
sensitive/security/audit_log.txt,move_file,24.0,high
sensitive/security/audit_log.txt,search_files,4.0,medium
sensitive/security/audit_log.txt,get_file_info,4.0,medium
sensitive/security/audit_log.txt,list_allowed_directories,4.0,medium
sensitive/security/private_key.pem,read_file,10.0,medium
sensitive/security/private_key.pem,read_text_file,10.0,medium
sensitive/security/private_key.pem,read_media_file,10.0,medium
sensitive/security/private_key.pem,read_multiple_files,20.0,high
sensitive/security/private_key.pem,write_file,45.0,high
sensitive/security/private_key.pem,edit_file,30.0,high
sensitive/security/private_key.pem,create_directory,0.0,high
sensitive/security/private_key.pem,list_directory,10.0,medium
sensitive/security/private_key.pem,list_directory_with_sizes,5.0,medium
sensitive/security/private_key.pem,directory_tree,20.0,high
sensitive/security/private_key.pem,move_file,45.0,high
sensitive/security/private_key.pem,search_files,10.0,medium
sensitive/security/private_key.pem,get_file_info,10.0,medium
sensitive/security/private_key.pem,list_allowed_directories,5.0,medium
source_code/core.c,read_file,4.0,medium
source_code/core.c,read_text_file,4.0,medium
source_code/core.c,read_media_file,4.0,medium
source_code/core.c,read_multiple_files,4.0,medium
source_code/core.c,write_file,24.0,high
source_code/core.c,edit_file,24.0,high
source_code/core.c,create_directory,0.0,low
source_code/core.c,list_directory,4.0,medium
source_code/core.c,list_directory_with_sizes,4.0,medium
source_code/core.c,directory_tree,4.0,medium
source_code/core.c,move_file,24.0,high
source_code/core.c,search_files,4.0,medium
source_code/core.c,get_file_info,4.0,medium
source_code/core.c,list_allowed_directories,4.0,medium
/,read_file,16.0,high
/,read_text_file,16.0,high
/,read_media_file,16.0,high
/,read_multiple_files,16.0,high
/,write_file,48.0,critical
/,edit_file,48.0,critical
/,create_directory,16.0,medium
/,list_directory,16.0,high
/,list_directory_with_sizes,16.0,high
/,directory_tree,16.0,high
/,move_file,48.0,critical
/,search_files,16.0,high
/,get_file_info,16.0,high
/,list_allowed_directories,16.0,high
sensitive/,read_file,16.0,high
sensitive/,read_text_file,16.0,high
sensitive/,read_media_file,16.0,high
sensitive/,read_multiple_files,16.0,high
sensitive/,write_file,48.0,critical
sensitive/,edit_file,48.0,critical
sensitive/,create_directory,16.0,medium
sensitive/,list_directory,16.0,high
sensitive/,list_directory_with_sizes,16.0,high
sensitive/,directory_tree,20.0,high
sensitive/,move_file,60.0,critical
sensitive/,search_files,16.0,high
sensitive/,get_file_info,16.0,high
