asset,tool,score,band
README.md,read_file,2.0,low
README.md,read_text_file,2.0,low
README.md,read_media_file,2.0,low
README.md,read_multiple_files,2.0,low
README.md,write_file,12.0,medium
README.md,edit_file,12.0,medium
README.md,create_directory,0.0,low
README.md,list_directory,2.0,low
README.md,list_directory_with_sizes,2.0,low
README.md,directory_tree,2.0,low
README.md,move_file,12.0,medium
README.md,search_files,2.0,low
README.md,get_file_info,2.0,low
README.md,list_allowed_directories,0.0,low
customers/cust_0001/kyc_passport.png,read_file,4.0,medium
customers/cust_0001/kyc_passport.png,read_text_file,4.0,medium
customers/cust_0001/kyc_passport.png,read_media_file,4.0,medium
customers/cust_0001/kyc_passport.png,read_multiple_files,16.0,high
customers/cust_0001/kyc_passport.png,write_file,24.0,high
customers/cust_0001/kyc_passport.png,edit_file,24.0,high
customers/cust_0001/kyc_passport.png,create_directory,0.0,low
customers/cust_0001/kyc_passport.png,list_directory,4.0,medium
customers/cust_0001/kyc_passport.png,list_directory_with_sizes,4.0,medium
customers/cust_0001/kyc_passport.png,directory_tree,4.0,medium
customers/cust_0001/kyc_passport.png,move_file,24.0,high
customers/cust_0001/kyc_passport.png,search_files,4.0,medium
customers/cust_0001/kyc_passport.png,get_file_info,4.0,medium
customers/cust_0001/kyc_passport.png,list_allowed_directories,4.0,medium
customers/cust_0001/profile.json,read_file,4.0,medium
customers/cust_0001/profile.json,read_text_file,4.0,medium
customers/cust_0001/profile.json,read_media_file,4.0,medium
customers/cust_0001/profile.json,read_multiple_files,4.0,medium
customers/cust_0001/profile.json,write_file,24.0,high
customers/cust_0001/profile.json,edit_file,24.0,high
customers/cust_0001/profile.json,create_directory,0.0,low
customers/cust_0001/profile.json,list_directory,4.0,medium
customers/cust_0001/profile.json,list_directory_with_sizes,4.0,medium
customers/cust_0001/profile.json,directory_tree,4.0,medium
customers/cust_0001/profile.json,move_file,24.0,high
customers/cust_0001/profile.json,search_files,4.0,medium
customers/cust_0001/profile.json,get_file_info,4.0,medium
customers/cust_0001/profile.json,list_allowed_directories,4.0,medium
customers/cust_0002/profile.json,read_file,4.0,medium
customers/cust_0002/profile.json,read_text_file,4.0,medium
customers/cust_0002/profile.json,read_media_file,4.0,medium
customers/cust_0002/profile.json,read_multiple_files,4.0,medium
customers/cust_0002/profile.json,write_file,24.0,high
customers/cust_0002/profile.json,edit_file,24.0,high
customers/cust_0002/profile.json,create_directory,0.0,low
customers/cust_0002/profile.json,list_directory,4.0,medium
customers/cust_0002/profile.json,list_directory_with_sizes,4.0,medium
customers/cust_0002/profile.json,directory_tree,4.0,medium
customers/cust_0002/profile.json,move_file,24.0,high
customers/cust_0002/profile.json,search_files,4.0,medium
customers/cust_0002/profile.json,get_file_info,4.0,medium
customers/cust_0002/profile.json,list_allowed_directories,4.0,medium
marketing/launch_2026.md,read_file,3.0,low
marketing/launch_2026.md,read_text_file,3.0,low
marketing/launch_2026.md,read_media_file,3.0,low
marketing/launch_2026.md,read_multiple_files,3.0,low
marketing/launch_2026.md,write_file,18.0,high
marketing/launch_2026.md,edit_file,18.0,high
marketing/launch_2026.md,create_directory,0.0,low
marketing/launch_2026.md,list_directory,3.0,low
marketing/launch_2026.md,list_directory_with_sizes,3.0,low
marketing/launch_2026.md,directory_tree,3.0,low
marketing/launch_2026.md,move_file,18.0,high
marketing/launch_2026.md,search_files,3.0,low
marketing/launch_2026.md,get_file_info,3.0,low
marketing/launch_2026.md,list_allowed_directories,3.0,low
payments/card_vault/pan_tokens.csv,read_file,5.0,medium
payments/card_vault/pan_tokens.csv,read_text_file,10.0,medium
payments/card_vault/pan_tokens.csv,read_media_file,5.0,medium
payments/card_vault/pan_tokens.csv,read_multiple_files,20.0,high
payments/card_vault/pan_tokens.csv,write_file,75.0,critical
payments/card_vault/pan_tokens.csv,edit_file,30.0,high
payments/card_vault/pan_tokens.csv,create_directory,0.0,high
payments/card_vault/pan_tokens.csv,list_directory,5.0,medium
payments/card_vault/pan_tokens.csv,list_directory_with_sizes,5.0,medium
payments/card_vault/pan_tokens.csv,directory_tree,20.0,high
payments/card_vault/pan_tokens.csv,move_file,30.0,high
payments/card_vault/pan_tokens.csv,search_files,5.0,medium
payments/card_vault/pan_tokens.csv,get_file_info,5.0,medium
payments/card_vault/pan_tokens.csv,list_allowed_directories,5.0,medium
payments/settlements/2026-05_settlement.csv,read_file,4.0,medium
payments/settlements/2026-05_settlement.csv,read_text_file,4.0,medium
payments/settlements/2026-05_settlement.csv,read_media_file,4.0,medium
payments/settlements/2026-05_settlement.csv,read_multiple_files,16.0,high
payments/settlements/2026-05_settlement.csv,write_file,36.0,high
payments/settlements/2026-05_settlement.csv,edit_file,24.0,high
payments/settlements/2026-05_settlement.csv,create_directory,0.0,low
