asset,tool,score,band
README.md,read_file,1.0,low
README.md,read_text_file,1.0,low
README.md,read_media_file,1.0,low
README.md,read_multiple_files,1.0,low
README.md,write_file,6.0,medium
README.md,edit_file,6.0,medium
README.md,create_directory,2.0,low
README.md,list_directory,1.0,low
README.md,list_directory_with_sizes,1.0,low
README.md,directory_tree,1.0,low
README.md,move_file,4.0,low
README.md,search_files,1.0,low
README.md,get_file_info,1.0,low
README.md,list_allowed_directories,1.0,low
billing/timesheets/timesheet_2026-05-01.txt,read_file,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,read_text_file,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,read_media_file,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,read_multiple_files,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,write_file,24.0,high
billing/timesheets/timesheet_2026-05-01.txt,edit_file,24.0,high
billing/timesheets/timesheet_2026-05-01.txt,create_directory,8.0,medium
billing/timesheets/timesheet_2026-05-01.txt,list_directory,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,list_directory_with_sizes,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,directory_tree,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,move_file,24.0,high
billing/timesheets/timesheet_2026-05-01.txt,search_files,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,get_file_info,4.0,medium
billing/timesheets/timesheet_2026-05-01.txt,list_allowed_directories,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,read_file,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,read_text_file,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,read_media_file,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,read_multiple_files,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,write_file,24.0,high
billing/timesheets/timesheet_2026-05-15.txt,edit_file,24.0,high
billing/timesheets/timesheet_2026-05-15.txt,create_directory,8.0,medium
billing/timesheets/timesheet_2026-05-15.txt,list_directory,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,list_directory_with_sizes,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,directory_tree,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,move_file,24.0,high
billing/timesheets/timesheet_2026-05-15.txt,search_files,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,get_file_info,4.0,medium
billing/timesheets/timesheet_2026-05-15.txt,list_allowed_directories,4.0,medium
cases/CASE-2026-001/contract.txt,read_file,4.0,medium
cases/CASE-2026-001/contract.txt,read_text_file,4.0,medium
cases/CASE-2026-001/contract.txt,read_media_file,4.0,medium
cases/CASE-2026-001/contract.txt,read_multiple_files,4.0,medium
cases/CASE-2026-001/contract.txt,write_file,24.0,high
cases/CASE-2026-001/contract.txt,edit_file,24.0,high
cases/CASE-2026-001/contract.txt,create_directory,8.0,medium
cases/CASE-2026-001/contract.txt,list_directory,4.0,medium
cases/CASE-2026-001/contract.txt,list_directory_with_sizes,4.0,medium
cases/CASE-2026-001/contract.txt,directory_tree,4.0,medium
cases/CASE-2026-001/contract.txt,move_file,24.0,high
cases/CASE-2026-001/contract.txt,search_files,4.0,medium
cases/CASE-2026-001/contract.txt,get_file_info,4.0,medium
cases/CASE-2026-001/contract.txt,list_allowed_directories,4.0,medium
cases/CASE-2026-001/correspondence.txt,read_file,4.0,medium
cases/CASE-2026-001/correspondence.txt,read_text_file,4.0,medium
cases/CASE-2026-001/correspondence.txt,read_media_file,4.0,medium
cases/CASE-2026-001/correspondence.txt,read_multiple_files,4.0,medium
cases/CASE-2026-001/correspondence.txt,write_file,24.0,high
cases/CASE-2026-001/correspondence.txt,edit_file,24.0,high
cases/CASE-2026-001/correspondence.txt,create_directory,8.0,medium
cases/CASE-2026-001/correspondence.txt,list_directory,4.0,medium
cases/CASE-2026-001/correspondence.txt,list_directory_with_sizes,4.0,medium
cases/CASE-2026-001/correspondence.txt,directory_tree,4.0,medium
cases/CASE-2026-001/correspondence.txt,move_file,16.0,medium
cases/CASE-2026-001/correspondence.txt,search_files,4.0,medium
cases/CASE-2026-001/correspondence.txt,get_file_info,4.0,medium
cases/CASE-2026-001/correspondence.txt,list_allowed_directories,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,read_file,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,read_text_file,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,read_media_file,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,read_multiple_files,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,write_file,24.0,high
cases/CASE-2026-001/signed_agreement.pdf,edit_file,24.0,high
cases/CASE-2026-001/signed_agreement.pdf,create_directory,8.0,medium
cases/CASE-2026-001/signed_agreement.pdf,list_directory,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,list_directory_with_sizes,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,directory_tree,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,move_file,16.0,medium
cases/CASE-2026-001/signed_agreement.pdf,search_files,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,get_file_info,4.0,medium
cases/CASE-2026-001/signed_agreement.pdf,list_allowed_directories,4.0,medium
cases/CASE-2026-002/contract.txt,read_file,4.0,medium
cases/CASE-2026-002/contract.txt,read_text_file,4.0,medium
cases/CASE-2026-002/contract.txt,read_media_file,4.0,medium
cases/CASE-2026-002/contract.txt,read_multiple_files,4.0,medium
cases/CASE-2026-002/contract.txt,write_file,24.0,high
cases/CASE-2026-002/contract.txt,edit_file,24.0,high
cases/CASE-2026-002/contract.txt,create_directory,8.0,medium
cases/CASE-2026-002/contract.txt,list_directory,4.0,medium
cases/CASE-2026-002/contract.txt,list_directory_with_sizes,4.0,medium
cases/CASE-2026-002/contract.txt,directory_tree,4.0,medium
cases/CASE-2026-002/contract.txt,move_file,24.0,high
cases/CASE-2026-002/contract.txt,search_files,4.0,medium
cases/CASE-2026-002/contract.txt,get_file_info,4.0,medium
cases/CASE-2026-002/contract.txt,list_allowed_directories,4.0,medium
cases/CASE-2026-002/correspondence.txt,read_file,4.0,medium
cases/CASE-2026-002/correspondence.txt,read_text_file,4.0,medium
