asset,tool,score,band
README.md,read_file,1.0,low
README.md,read_text_file,1.0,low
README.md,read_media_file,1.0,low
README.md,read_multiple_files,1.0,low
README.md,write_file,6.0,medium
README.md,edit_file,6.0,medium
README.md,create_directory,0.0,low
README.md,list_directory,1.0,low
README.md,list_directory_with_sizes,1.0,low
README.md,directory_tree,1.0,low
README.md,move_file,4.0,low
README.md,search_files,1.0,low
README.md,get_file_info,1.0,low
README.md,list_allowed_directories,0.0,low
clients/citybank/contract.txt,read_file,4.0,medium
clients/citybank/contract.txt,read_text_file,4.0,medium
clients/citybank/contract.txt,read_media_file,4.0,medium
clients/citybank/contract.txt,read_multiple_files,16.0,high
clients/citybank/contract.txt,write_file,24.0,high
clients/citybank/contract.txt,edit_file,24.0,high
clients/citybank/contract.txt,create_directory,0.0,low
clients/citybank/contract.txt,list_directory,4.0,medium
clients/citybank/contract.txt,list_directory_with_sizes,4.0,medium
clients/citybank/contract.txt,directory_tree,4.0,medium
clients/citybank/contract.txt,move_file,16.0,medium
clients/citybank/contract.txt,search_files,4.0,medium
clients/citybank/contract.txt,get_file_info,4.0,medium
clients/citybank/contract.txt,list_allowed_directories,4.0,medium
clients/neon_brand/contract.txt,read_file,4.0,medium
clients/neon_brand/contract.txt,read_text_file,4.0,medium
clients/neon_brand/contract.txt,read_media_file,4.0,medium
clients/neon_brand/contract.txt,read_multiple_files,16.0,high
clients/neon_brand/contract.txt,write_file,24.0,high
clients/neon_brand/contract.txt,edit_file,24.0,high
clients/neon_brand/contract.txt,create_directory,0.0,low
clients/neon_brand/contract.txt,list_directory,4.0,medium
clients/neon_brand/contract.txt,list_directory_with_sizes,4.0,medium
clients/neon_brand/contract.txt,directory_tree,4.0,medium
clients/neon_brand/contract.txt,move_file,16.0,medium
clients/neon_brand/contract.txt,search_files,4.0,medium
clients/neon_brand/contract.txt,get_file_info,4.0,medium
clients/neon_brand/contract.txt,list_allowed_directories,4.0,medium
invoices/inv_2026-05-15_citybank.txt,read_file,4.0,medium
invoices/inv_2026-05-15_citybank.txt,read_text_file,4.0,medium
invoices/inv_2026-05-15_citybank.txt,read_media_file,4.0,medium
invoices/inv_2026-05-15_citybank.txt,read_multiple_files,4.0,medium
invoices/inv_2026-05-15_citybank.txt,write_file,24.0,high
invoices/inv_2026-05-15_citybank.txt,edit_file,24.0,high
invoices/inv_2026-05-15_citybank.txt,create_directory,0.0,low
invoices/inv_2026-05-15_citybank.txt,list_directory,4.0,medium
invoices/inv_2026-05-15_citybank.txt,list_directory_with_sizes,4.0,medium
invoices/inv_2026-05-15_citybank.txt,directory_tree,4.0,medium
invoices/inv_2026-05-15_citybank.txt,move_file,16.0,medium
invoices/inv_2026-05-15_citybank.txt,search_files,4.0,medium
invoices/inv_2026-05-15_citybank.txt,get_file_info,4.0,medium
invoices/inv_2026-05-15_citybank.txt,list_allowed_directories,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,read_file,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,read_text_file,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,read_media_file,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,read_multiple_files,16.0,high
invoices/inv_2026-05-21_neon_brand.txt,write_file,24.0,high
invoices/inv_2026-05-21_neon_brand.txt,edit_file,24.0,high
invoices/inv_2026-05-21_neon_brand.txt,create_directory,0.0,low
invoices/inv_2026-05-21_neon_brand.txt,list_directory,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,list_directory_with_sizes,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,directory_tree,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,move_file,16.0,medium
invoices/inv_2026-05-21_neon_brand.txt,search_files,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,get_file_info,4.0,medium
invoices/inv_2026-05-21_neon_brand.txt,list_allowed_directories,4.0,medium
project_pipeline.txt,read_file,3.0,low
project_pipeline.txt,read_text_file,3.0,low
project_pipeline.txt,read_media_file,3.0,low
project_pipeline.txt,read_multiple_files,3.0,low
project_pipeline.txt,write_file,18.0,high
project_pipeline.txt,edit_file,18.0,high
project_pipeline.txt,create_directory,0.0,low
project_pipeline.txt,list_directory,3.0,low
project_pipeline.txt,list_directory_with_sizes,3.0,low
project_pipeline.txt,directory_tree,3.0,low
project_pipeline.txt,move_file,12.0,medium
project_pipeline.txt,search_files,3.0,low
project_pipeline.txt,get_file_info,3.0,low
project_pipeline.txt,list_allowed_directories,3.0,low
shoots/SHOOT-2026-A/brief.txt,read_file,3.0,low
shoots/SHOOT-2026-A/brief.txt,read_text_file,3.0,low
shoots/SHOOT-2026-A/brief.txt,read_media_file,3.0,low
shoots/SHOOT-2026-A/brief.txt,read_multiple_files,3.0,low
shoots/SHOOT-2026-A/brief.txt,write_file,18.0,high
shoots/SHOOT-2026-A/brief.txt,edit_file,18.0,high
shoots/SHOOT-2026-A/brief.txt,create_directory,0.0,low
shoots/SHOOT-2026-A/brief.txt,list_directory,3.0,low
shoots/SHOOT-2026-A/brief.txt,list_directory_with_sizes,3.0,low
shoots/SHOOT-2026-A/brief.txt,directory_tree,3.0,low
shoots/SHOOT-2026-A/brief.txt,move_file,12.0,medium
shoots/SHOOT-2026-A/brief.txt,search_files,3.0,low
shoots/SHOOT-2026-A/brief.txt,get_file_info,3.0,low
shoots/SHOOT-2026-A/brief.txt,list_allowed_directories,3.0,low
shoots/SHOOT-2026-A/notes.txt,read_file,3.0,low
shoots/SHOOT-2026-A/notes.txt,read_text_file,3.0,low
shoots/SHOOT-2026-A/notes.txt,read_media_file,3.0,low
shoots/SHOOT-2026-A/notes.txt,read_multiple_files,3.0,low
shoots/SHOOT-2026-A/notes.txt,write_file,18.0,high
shoots/SHOOT-2026-A/notes.txt,edit_file,18.0,high
shoots/SHOOT-2026-A/notes.txt,create_directory,0.0,low
shoots/SHOOT-2026-A/notes.txt,list_directory,3.0,low
shoots/SHOOT-2026-A/notes.txt,list_directory_with_sizes,3.0,low
shoots/SHOOT-2026-A/notes.txt,directory_tree,3.0,low
shoots/SHOOT-2026-A/notes.txt,move_file,12.0,medium
shoots/SHOOT-2026-A/notes.txt,search_files,3.0,low
shoots/SHOOT-2026-A/notes.txt,get_file_info,3.0,low
