asset,tool,score,band
README.md,read_file,2.0,low
README.md,read_text_file,2.0,low
README.md,read_media_file,2.0,low
README.md,read_multiple_files,2.0,low
README.md,write_file,12.0,medium
README.md,edit_file,12.0,medium
README.md,create_directory,0.0,low
README.md,list_directory,2.0,low
README.md,list_directory_with_sizes,2.0,low
README.md,directory_tree,2.0,low
README.md,move_file,12.0,medium
README.md,search_files,2.0,low
README.md,get_file_info,2.0,low
README.md,list_allowed_directories,0.0,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_file,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_text_file,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_media_file,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_multiple_files,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,write_file,24.0,high
billing/invoices/inv_2026-05-20_alice_johnson.txt,edit_file,24.0,high
billing/invoices/inv_2026-05-20_alice_johnson.txt,create_directory,0.0,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,list_directory,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,list_directory_with_sizes,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,directory_tree,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,move_file,36.0,high
billing/invoices/inv_2026-05-20_alice_johnson.txt,search_files,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,get_file_info,4.0,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,list_allowed_directories,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_file,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_text_file,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_media_file,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_multiple_files,16.0,high
billing/invoices/inv_2026-05-21_bob_martinez.txt,write_file,24.0,high
billing/invoices/inv_2026-05-21_bob_martinez.txt,edit_file,24.0,high
billing/invoices/inv_2026-05-21_bob_martinez.txt,create_directory,0.0,low
billing/invoices/inv_2026-05-21_bob_martinez.txt,list_directory,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,list_directory_with_sizes,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,directory_tree,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,move_file,24.0,high
billing/invoices/inv_2026-05-21_bob_martinez.txt,search_files,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,get_file_info,4.0,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,list_allowed_directories,4.0,medium
patients/alice_johnson/intake_form.txt,read_file,5.0,medium
patients/alice_johnson/intake_form.txt,read_text_file,5.0,medium
patients/alice_johnson/intake_form.txt,read_media_file,10.0,medium
patients/alice_johnson/intake_form.txt,read_multiple_files,20.0,high
patients/alice_johnson/intake_form.txt,write_file,30.0,high
patients/alice_johnson/intake_form.txt,edit_file,30.0,high
patients/alice_johnson/intake_form.txt,create_directory,0.0,high
patients/alice_johnson/intake_form.txt,list_directory,5.0,medium
patients/alice_johnson/intake_form.txt,list_directory_with_sizes,5.0,medium
patients/alice_johnson/intake_form.txt,directory_tree,20.0,high
patients/alice_johnson/intake_form.txt,move_file,30.0,high
patients/alice_johnson/intake_form.txt,search_files,5.0,medium
patients/alice_johnson/intake_form.txt,get_file_info,5.0,medium
patients/alice_johnson/intake_form.txt,list_allowed_directories,5.0,medium
patients/alice_johnson/medical_history.txt,read_file,5.0,medium
patients/alice_johnson/medical_history.txt,read_text_file,5.0,medium
patients/alice_johnson/medical_history.txt,read_media_file,10.0,medium
patients/alice_johnson/medical_history.txt,read_multiple_files,20.0,high
patients/alice_johnson/medical_history.txt,write_file,30.0,high
patients/alice_johnson/medical_history.txt,edit_file,30.0,high
patients/alice_johnson/medical_history.txt,create_directory,0.0,high
patients/alice_johnson/medical_history.txt,list_directory,5.0,medium
patients/alice_johnson/medical_history.txt,list_directory_with_sizes,5.0,medium
patients/alice_johnson/medical_history.txt,directory_tree,5.0,medium
patients/alice_johnson/medical_history.txt,move_file,30.0,high
patients/alice_johnson/medical_history.txt,search_files,5.0,medium
patients/alice_johnson/medical_history.txt,get_file_info,5.0,medium
patients/alice_johnson/medical_history.txt,list_allowed_directories,5.0,medium
patients/alice_johnson/prescription.txt,read_file,5.0,medium
patients/alice_johnson/prescription.txt,read_text_file,5.0,medium
patients/alice_johnson/prescription.txt,read_media_file,10.0,medium
patients/alice_johnson/prescription.txt,read_multiple_files,20.0,high
patients/alice_johnson/prescription.txt,write_file,30.0,high
patients/alice_johnson/prescription.txt,edit_file,30.0,high
patients/alice_johnson/prescription.txt,create_directory,0.0,high
