asset,tool,score,band
public-website,search_repositories,4.0,low
public-website,get_file_contents,1.0,low
public-website,list_commits,4.0,low
public-website,get_issue,1.0,low
public-website,create_issue,4.0,low
public-website,create_or_update_file,6.0,medium
public-website,push_files,9.0,medium
public-website,delete_file,6.0,medium
public-website,create_pull_request,4.0,low
public-website,merge_pull_request,12.0,medium
public-website,fork_repository,8.0,medium
internal-docs,search_repositories,12.0,medium
internal-docs,get_file_contents,3.0,low
internal-docs,list_commits,12.0,medium
internal-docs,get_issue,3.0,low
internal-docs,create_issue,12.0,medium
internal-docs,create_or_update_file,18.0,high
internal-docs,push_files,27.0,high
internal-docs,delete_file,18.0,high
internal-docs,create_pull_request,12.0,medium
internal-docs,merge_pull_request,36.0,high
internal-docs,fork_repository,24.0,high
backend-api,search_repositories,16.0,high
backend-api,get_file_contents,4.0,medium
backend-api,list_commits,16.0,high
backend-api,get_issue,4.0,medium
backend-api,create_issue,8.0,medium
backend-api,create_or_update_file,24.0,high
backend-api,push_files,36.0,high
backend-api,delete_file,24.0,high
backend-api,create_pull_request,16.0,medium
backend-api,merge_pull_request,48.0,critical
backend-api,fork_repository,32.0,high
payments-service,search_repositories,16.0,high
payments-service,get_file_contents,4.0,medium
payments-service,list_commits,16.0,high
payments-service,get_issue,4.0,medium
payments-service,create_issue,8.0,medium
payments-service,create_or_update_file,24.0,high
payments-service,push_files,36.0,high
payments-service,delete_file,24.0,high
payments-service,create_pull_request,16.0,medium
payments-service,merge_pull_request,60.0,critical
payments-service,fork_repository,32.0,high
infra-config,search_repositories,20.0,high
infra-config,get_file_contents,10.0,medium
infra-config,list_commits,20.0,high
infra-config,get_issue,10.0,medium
infra-config,create_issue,10.0,high
infra-config,create_or_update_file,60.0,critical
infra-config,push_files,60.0,critical
infra-config,delete_file,75.0,critical
infra-config,create_pull_request,30.0,high
infra-config,merge_pull_request,75.0,critical
infra-config,fork_repository,40.0,high
ml-research,search_repositories,16.0,high
ml-research,get_file_contents,4.0,medium
ml-research,list_commits,16.0,high
ml-research,get_issue,4.0,medium
ml-research,create_issue,8.0,medium
ml-research,create_or_update_file,24.0,high
ml-research,push_files,36.0,high
ml-research,delete_file,60.0,critical
ml-research,create_pull_request,16.0,medium
ml-research,merge_pull_request,48.0,critical
ml-research,fork_repository,32.0,high
