asset,tool,score,band
general,slack_list_channels,4.0,low
general,slack_get_channel_history,4.0,low
general,slack_get_thread_replies,4.0,low
general,slack_get_users,4.0,low
general,slack_get_user_profile,1.0,low
general,slack_post_message,12.0,medium
general,slack_reply_to_thread,4.0,low
general,slack_add_reaction,4.0,low
announcements,slack_list_channels,4.0,low
announcements,slack_get_channel_history,4.0,low
announcements,slack_get_thread_replies,4.0,low
announcements,slack_get_users,4.0,low
announcements,slack_get_user_profile,1.0,low
announcements,slack_post_message,12.0,medium
announcements,slack_reply_to_thread,4.0,low
announcements,slack_add_reaction,4.0,low
random,slack_list_channels,4.0,low
random,slack_get_channel_history,4.0,low
random,slack_get_thread_replies,4.0,low
random,slack_get_users,4.0,low
random,slack_get_user_profile,1.0,low
random,slack_post_message,6.0,medium
random,slack_reply_to_thread,4.0,low
random,slack_add_reaction,4.0,low
engineering,slack_list_channels,8.0,medium
engineering,slack_get_channel_history,8.0,medium
engineering,slack_get_thread_replies,8.0,medium
engineering,slack_get_users,8.0,medium
engineering,slack_get_user_profile,2.0,low
engineering,slack_post_message,18.0,medium
engineering,slack_reply_to_thread,8.0,medium
engineering,slack_add_reaction,8.0,medium
incident-response,slack_list_channels,16.0,high
incident-response,slack_get_channel_history,16.0,high
incident-response,slack_get_thread_replies,16.0,high
incident-response,slack_get_users,16.0,high
incident-response,slack_get_user_profile,4.0,medium
incident-response,slack_post_message,24.0,high
incident-response,slack_reply_to_thread,16.0,medium
incident-response,slack_add_reaction,16.0,medium
on-call,slack_list_channels,16.0,high
on-call,slack_get_channel_history,16.0,high
on-call,slack_get_thread_replies,16.0,high
on-call,slack_get_users,16.0,high
on-call,slack_get_user_profile,4.0,medium
on-call,slack_post_message,24.0,high
on-call,slack_reply_to_thread,16.0,medium
on-call,slack_add_reaction,16.0,medium
research-team,slack_list_channels,16.0,high
research-team,slack_get_channel_history,16.0,high
research-team,slack_get_thread_replies,16.0,high
research-team,slack_get_users,16.0,high
research-team,slack_get_user_profile,4.0,medium
research-team,slack_post_message,24.0,high
research-team,slack_reply_to_thread,16.0,medium
research-team,slack_add_reaction,16.0,medium
exec-private,slack_list_channels,16.0,high
exec-private,slack_get_channel_history,16.0,high
exec-private,slack_get_thread_replies,16.0,high
exec-private,slack_get_users,16.0,high
exec-private,slack_get_user_profile,4.0,medium
exec-private,slack_post_message,24.0,high
exec-private,slack_reply_to_thread,16.0,medium
exec-private,slack_add_reaction,16.0,medium
hr-internal,slack_list_channels,16.0,high
hr-internal,slack_get_channel_history,16.0,high
hr-internal,slack_get_thread_replies,16.0,high
hr-internal,slack_get_users,16.0,high
hr-internal,slack_get_user_profile,4.0,medium
hr-internal,slack_post_message,24.0,high
hr-internal,slack_reply_to_thread,16.0,medium
hr-internal,slack_add_reaction,16.0,medium
team-leads,slack_list_channels,16.0,high
team-leads,slack_get_channel_history,16.0,high
team-leads,slack_get_thread_replies,16.0,high
team-leads,slack_get_users,16.0,high
team-leads,slack_get_user_profile,4.0,medium
team-leads,slack_post_message,24.0,high
team-leads,slack_reply_to_thread,16.0,medium
team-leads,slack_add_reaction,16.0,medium
