asset,tool,score,band
general,channels_list,4.0,low
general,channels_me,4.0,low
general,conversations_add_message,4.0,low
general,conversations_history,4.0,low
general,conversations_join,4.0,low
general,conversations_leave,4.0,low
general,conversations_mark,8.0,medium
general,conversations_replies,4.0,low
general,conversations_search_messages,4.0,low
general,conversations_unreads,4.0,low
general,usergroups_create,4.0,low
general,usergroups_list,4.0,low
general,usergroups_me,2.0,low
general,usergroups_update,4.0,low
general,usergroups_users_update,9.0,medium
general,users_search,4.0,low
announcements,channels_list,8.0,medium
announcements,channels_me,8.0,medium
announcements,conversations_add_message,8.0,medium
announcements,conversations_history,8.0,medium
announcements,conversations_join,8.0,medium
announcements,conversations_leave,8.0,medium
announcements,conversations_mark,8.0,medium
announcements,conversations_replies,8.0,medium
announcements,conversations_search_messages,8.0,medium
announcements,conversations_unreads,8.0,medium
announcements,usergroups_create,8.0,medium
announcements,usergroups_list,8.0,medium
announcements,usergroups_me,4.0,low
announcements,usergroups_update,8.0,medium
announcements,usergroups_users_update,18.0,medium
announcements,users_search,8.0,medium
random,channels_list,4.0,low
random,channels_me,4.0,low
random,conversations_add_message,4.0,low
random,conversations_history,4.0,low
random,conversations_join,4.0,low
random,conversations_leave,4.0,low
random,conversations_mark,4.0,low
random,conversations_replies,4.0,low
random,conversations_search_messages,4.0,low
random,conversations_unreads,4.0,low
random,usergroups_create,4.0,low
random,usergroups_list,4.0,low
random,usergroups_me,2.0,low
random,usergroups_update,4.0,low
random,usergroups_users_update,9.0,medium
random,users_search,4.0,low
engineering,channels_list,8.0,medium
engineering,channels_me,8.0,medium
engineering,conversations_add_message,8.0,medium
engineering,conversations_history,8.0,medium
engineering,conversations_join,8.0,medium
engineering,conversations_leave,8.0,medium
engineering,conversations_mark,8.0,medium
engineering,conversations_replies,8.0,medium
engineering,conversations_search_messages,8.0,medium
engineering,conversations_unreads,8.0,medium
engineering,usergroups_create,8.0,medium
engineering,usergroups_list,8.0,medium
engineering,usergroups_me,8.0,medium
engineering,usergroups_update,8.0,medium
engineering,usergroups_users_update,18.0,medium
engineering,users_search,8.0,medium
incident-response,channels_list,16.0,high
incident-response,channels_me,16.0,high
incident-response,conversations_add_message,16.0,medium
incident-response,conversations_history,16.0,high
incident-response,conversations_join,16.0,medium
incident-response,conversations_leave,16.0,medium
incident-response,conversations_mark,16.0,medium
incident-response,conversations_replies,16.0,high
incident-response,conversations_search_messages,16.0,high
incident-response,conversations_unreads,16.0,high
incident-response,usergroups_create,16.0,medium
incident-response,usergroups_list,4.0,medium
incident-response,usergroups_me,16.0,medium
incident-response,usergroups_update,16.0,medium
incident-response,usergroups_users_update,48.0,critical
incident-response,users_search,8.0,medium
on-call,channels_list,16.0,high
on-call,channels_me,16.0,high
on-call,conversations_add_message,16.0,medium
on-call,conversations_history,16.0,high
on-call,conversations_join,16.0,medium
on-call,conversations_leave,16.0,medium
on-call,conversations_mark,16.0,medium
on-call,conversations_replies,16.0,high
on-call,conversations_search_messages,16.0,high
on-call,conversations_unreads,16.0,high
on-call,usergroups_create,16.0,medium
on-call,usergroups_list,8.0,medium
on-call,usergroups_me,16.0,medium
on-call,usergroups_update,16.0,medium
on-call,usergroups_users_update,48.0,critical
on-call,users_search,8.0,medium
research-team,channels_list,16.0,high
research-team,channels_me,16.0,high
research-team,conversations_add_message,16.0,medium
research-team,conversations_history,16.0,high
research-team,conversations_join,16.0,medium
research-team,conversations_leave,16.0,medium
research-team,conversations_mark,16.0,medium
research-team,conversations_replies,16.0,high
research-team,conversations_search_messages,16.0,high
research-team,conversations_unreads,16.0,high
research-team,usergroups_create,16.0,medium
research-team,usergroups_list,8.0,medium
research-team,usergroups_me,16.0,medium
research-team,usergroups_update,16.0,medium
research-team,usergroups_users_update,48.0,critical
research-team,users_search,8.0,medium
exec-private,channels_list,16.0,high
exec-private,channels_me,16.0,high
exec-private,conversations_add_message,24.0,high
exec-private,conversations_history,16.0,high
exec-private,conversations_join,16.0,medium
exec-private,conversations_leave,16.0,medium
exec-private,conversations_mark,16.0,medium
exec-private,conversations_replies,16.0,high
exec-private,conversations_search_messages,16.0,high
exec-private,conversations_unreads,16.0,high
exec-private,usergroups_create,16.0,medium
exec-private,usergroups_list,8.0,medium
exec-private,usergroups_me,16.0,medium
exec-private,usergroups_update,16.0,medium
exec-private,usergroups_users_update,48.0,critical
exec-private,users_search,8.0,medium
hr-internal,channels_list,16.0,high
hr-internal,channels_me,16.0,high
hr-internal,conversations_add_message,16.0,medium
hr-internal,conversations_history,16.0,high
hr-internal,conversations_join,16.0,medium
hr-internal,conversations_leave,16.0,medium
hr-internal,conversations_mark,16.0,medium
hr-internal,conversations_replies,16.0,high
hr-internal,conversations_search_messages,16.0,high
hr-internal,conversations_unreads,16.0,high
hr-internal,usergroups_create,16.0,medium
hr-internal,usergroups_list,4.0,medium
hr-internal,usergroups_me,16.0,medium
hr-internal,usergroups_update,16.0,medium
hr-internal,usergroups_users_update,48.0,critical
hr-internal,users_search,16.0,high
team-leads,channels_list,16.0,high
team-leads,channels_me,16.0,high
team-leads,conversations_add_message,16.0,medium
team-leads,conversations_history,16.0,high
team-leads,conversations_join,16.0,medium
team-leads,conversations_leave,16.0,medium
team-leads,conversations_mark,16.0,medium
team-leads,conversations_replies,16.0,high
team-leads,conversations_search_messages,16.0,high
team-leads,conversations_unreads,16.0,high
team-leads,usergroups_create,16.0,medium
team-leads,usergroups_list,8.0,medium
team-leads,usergroups_me,16.0,medium
team-leads,usergroups_update,16.0,medium
team-leads,usergroups_users_update,48.0,critical
team-leads,users_search,8.0,medium
