asset,tool,score,band
users,list_tables,8.0,medium
users,describe_table,8.0,medium
users,read_query,16.0,high
users,write_query,48.0,critical
users,insert_row,16.0,medium
api_tokens,list_tables,10.0,medium
api_tokens,describe_table,10.0,medium
api_tokens,read_query,20.0,high
api_tokens,write_query,45.0,high
api_tokens,insert_row,20.0,high
deployments,list_tables,6.0,low
deployments,describe_table,6.0,low
deployments,read_query,12.0,medium
deployments,write_query,27.0,high
deployments,insert_row,12.0,medium
audit_log,list_tables,8.0,medium
audit_log,describe_table,8.0,medium
audit_log,read_query,16.0,high
audit_log,write_query,36.0,high
audit_log,insert_row,16.0,medium
public_metrics,list_tables,2.0,low
public_metrics,describe_table,2.0,low
public_metrics,read_query,4.0,low
public_metrics,write_query,9.0,medium
public_metrics,insert_row,4.0,low
