asset,tool,sensitivity,blast,impact,score,band
market_data,technical_get_rsi_analysis,1,1,1,1,low
market_data,technical_get_macd_analysis,1,2,1,2,low
market_data,technical_get_support_resistance,1,4,1,4,low
market_data,technical_get_full_technical_analysis,1,1,1,1,low
market_data,technical_get_stock_chart_analysis,1,4,1,4,low
market_data,screening_get_maverick_stocks,1,4,1,4,low
market_data,screening_get_maverick_bear_stocks,1,4,1,4,low
market_data,screening_get_supply_demand_breakouts,1,4,1,4,low
market_data,screening_get_all_screening_recommendations,1,4,1,4,low
market_data,screening_get_screening_by_criteria,1,4,1,4,low
market_data,portfolio_add_position,1,1,2,2,low
market_data,portfolio_get_my_portfolio,1,4,1,4,low
market_data,portfolio_remove_position,1,2,3,6,medium
market_data,portfolio_clear_portfolio,1,1,3,3,medium
market_data,portfolio_risk_adjusted_analysis,1,4,1,4,low
market_data,portfolio_compare_tickers,1,4,1,4,low
market_data,portfolio_portfolio_correlation_analysis,1,4,1,4,low
market_data,data_fetch_stock_data,1,1,1,1,low
market_data,data_fetch_stock_data_batch,1,4,1,4,low
market_data,data_get_stock_info,1,1,1,1,low
market_data,data_get_adanos_market_sentiment,1,4,1,4,low
market_data,data_get_news_sentiment,1,4,1,4,low
market_data,data_get_cached_price_data,1,4,1,4,low
market_data,data_get_chart_links,1,2,1,2,low
market_data,data_clear_cache,1,4,2,8,medium
market_data,performance_get_system_performance_health,1,4,1,4,low
market_data,performance_get_redis_health_status,1,2,1,2,low
market_data,performance_get_cache_performance_status,1,4,1,4,low
market_data,performance_get_database_performance_status,1,4,1,4,low
market_data,performance_analyze_database_index_usage,1,4,1,4,low
market_data,performance_optimize_cache_configuration,1,2,1,2,low
market_data,performance_clear_system_caches,1,4,3,12,medium
market_data,agents_list_available_agents,1,2,1,2,low
market_data,agents_analyze_market_with_agent,1,4,1,4,low
market_data,agents_get_agent_streaming_analysis,1,4,1,4,low
market_data,agents_compare_personas_analysis,1,4,1,4,low
market_data,agents_orchestrated_analysis,1,4,1,4,low
market_data,agents_deep_research_financial,1,4,1,4,low
market_data,agents_compare_multi_agent_analysis,1,4,1,4,low
market_data,research_comprehensive_research,1,4,1,4,low
market_data,research_company_comprehensive,1,4,1,4,low
market_data,research_analyze_market_sentiment,1,4,1,4,low
market_data,get_system_health,1,4,1,4,low
market_data,get_component_status,1,4,1,4,low
market_data,get_circuit_breaker_status,1,4,1,4,low
market_data,get_resource_usage,1,1,1,1,low
market_data,get_status_dashboard,1,4,1,4,low
market_data,reset_circuit_breaker,1,2,2,4,low
market_data,get_health_history,1,4,1,4,low
market_data,run_health_diagnostics,1,4,1,4,low
market_data,run_backtest,1,4,1,4,low
market_data,optimize_strategy,1,4,1,4,low
market_data,walk_forward_analysis,1,4,1,4,low
market_data,monte_carlo_simulation,1,4,1,4,low
market_data,compare_strategies,1,4,1,4,low
market_data,list_strategies,1,4,1,4,low
market_data,parse_strategy,1,1,1,1,low
market_data,backtest_portfolio,1,4,1,4,low
market_data,generate_backtest_charts,1,4,1,4,low
market_data,generate_optimization_charts,1,4,1,4,low
market_data,run_ml_strategy_backtest,1,4,1,4,low
market_data,train_ml_predictor,1,2,2,4,low
market_data,analyze_market_regimes,1,4,1,4,low
market_data,create_strategy_ensemble,1,4,2,8,medium
market_data,discover_capabilities,1,4,1,4,low
market_data,list_all_strategies,1,4,1,4,low
market_data,get_strategy_help,1,2,1,2,low
market_data,get_decision_log,1,4,1,4,low
market_data,get_tool_registry_status,1,2,1,2,low
market_data,create_signal,1,2,3,6,medium
market_data,update_signal,1,2,3,6,medium
market_data,list_signals,1,4,1,4,low
market_data,delete_signal,1,2,3,6,medium
market_data,check_signals_now,1,4,1,4,low
market_data,get_market_regime,1,1,1,1,low
market_data,get_regime_history,1,4,1,4,low
market_data,backtest_signal,1,4,1,4,low
market_data,get_screening_changes,1,4,1,4,low
market_data,get_screening_history,1,4,1,4,low
market_data,schedule_screening,1,2,2,4,low
market_data,get_screening_pipeline_status,1,2,1,2,low
market_data,journal_add_trade,1,1,2,2,low
market_data,journal_close_trade,1,1,3,3,medium
market_data,journal_list_trades,1,4,1,4,low
market_data,get_strategy_performance,1,4,1,4,low
market_data,get_strategy_comparison,1,4,1,4,low
market_data,journal_trade_review,1,2,1,2,low
market_data,watchlist_create,1,2,2,4,low
market_data,watchlist_add,1,2,2,4,low
market_data,watchlist_remove,1,1,2,2,low
market_data,watchlist_brief,1,4,1,4,low
market_data,get_upcoming_catalysts,1,4,1,4,low
market_data,get_portfolio_risk_dashboard,1,4,1,4,low
market_data,get_position_risk_check,1,1,1,1,low
market_data,get_regime_adjusted_sizing,1,2,1,2,low
market_data,get_risk_alerts,1,4,1,4,low
market_data,get_user_portfolio_summary,1,4,1,4,low
market_data,get_watchlist,1,4,1,4,low
market_data,get_market_overview,1,4,1,4,low
market_data,get_economic_calendar,1,4,1,4,low
market_data,get_mcp_connection_status,1,2,1,2,low
market_data,get_rsi_analysis,1,1,1,1,low
market_data,get_macd_analysis,1,4,1,4,low
market_data,get_support_resistance,1,4,1,4,low
market_data,get_maverick_stocks,1,4,1,4,low
market_data,get_my_portfolio,1,4,1,4,low
market_data,get_full_technical_analysis,1,4,1,4,low
market_data,get_maverick_bear_stocks,1,4,1,4,low
market_data,get_supply_demand_breakouts,1,4,1,4,low
market_data,get_all_screening_recommendations,1,4,1,4,low
market_data,add_portfolio_position,1,1,2,2,low
market_data,remove_portfolio_position,1,1,3,3,medium
market_data,portfolio_correlation_analysis,1,4,1,4,low
market_data,compare_tickers,1,4,1,4,low
market_data,risk_adjusted_analysis,1,1,1,1,low
market_data,fetch_stock_data,1,4,1,4,low
market_data,get_stock_info,1,1,1,1,low
market_data,get_news_sentiment,1,4,1,4,low
market_data,get_adanos_market_sentiment,1,4,1,4,low
watchlists,technical_get_rsi_analysis,4,2,1,8,medium
watchlists,technical_get_macd_analysis,4,2,1,8,medium
watchlists,technical_get_support_resistance,4,1,1,4,medium
watchlists,technical_get_full_technical_analysis,4,2,1,8,medium
watchlists,technical_get_stock_chart_analysis,4,2,1,8,medium
watchlists,screening_get_maverick_stocks,4,4,1,16,high
watchlists,screening_get_maverick_bear_stocks,4,4,1,16,high
watchlists,screening_get_supply_demand_breakouts,4,4,1,16,high
watchlists,screening_get_all_screening_recommendations,4,4,1,16,high
watchlists,screening_get_screening_by_criteria,4,4,1,16,high
watchlists,portfolio_add_position,4,2,2,16,medium
watchlists,portfolio_get_my_portfolio,4,1,1,4,medium
watchlists,portfolio_remove_position,4,2,3,24,high
watchlists,portfolio_clear_portfolio,4,1,3,12,high
watchlists,portfolio_risk_adjusted_analysis,4,2,1,8,medium
watchlists,portfolio_compare_tickers,4,4,1,16,high
watchlists,portfolio_portfolio_correlation_analysis,4,4,1,16,high
watchlists,data_fetch_stock_data,4,1,1,4,medium
watchlists,data_fetch_stock_data_batch,4,4,1,16,high
watchlists,data_get_stock_info,4,2,1,8,medium
watchlists,data_get_adanos_market_sentiment,4,2,1,8,medium
watchlists,data_get_news_sentiment,4,2,1,8,medium
watchlists,data_get_cached_price_data,4,2,1,8,medium
watchlists,data_get_chart_links,4,2,1,8,medium
watchlists,data_clear_cache,4,4,2,32,high
watchlists,performance_get_system_performance_health,4,2,1,8,medium
watchlists,performance_get_redis_health_status,4,2,1,8,medium
watchlists,performance_get_cache_performance_status,4,2,1,8,medium
watchlists,performance_get_database_performance_status,4,2,1,8,medium
watchlists,performance_analyze_database_index_usage,4,2,1,8,medium
watchlists,performance_optimize_cache_configuration,4,2,1,8,medium
watchlists,performance_clear_system_caches,4,2,3,24,high
watchlists,agents_list_available_agents,4,2,1,8,medium
watchlists,agents_analyze_market_with_agent,4,4,1,16,high
watchlists,agents_get_agent_streaming_analysis,4,4,1,16,high
watchlists,agents_compare_personas_analysis,4,4,1,16,high
watchlists,agents_orchestrated_analysis,4,4,1,16,high
watchlists,agents_deep_research_financial,4,4,1,16,high
watchlists,agents_compare_multi_agent_analysis,4,4,1,16,high
watchlists,research_comprehensive_research,4,2,1,8,medium
watchlists,research_company_comprehensive,4,2,1,8,medium
watchlists,research_analyze_market_sentiment,4,2,1,8,medium
watchlists,get_system_health,4,4,1,16,high
watchlists,get_component_status,4,4,1,16,high
watchlists,get_circuit_breaker_status,4,4,1,16,high
watchlists,get_resource_usage,4,1,1,4,medium
watchlists,get_status_dashboard,4,4,1,16,high
watchlists,reset_circuit_breaker,4,2,2,16,medium
watchlists,get_health_history,4,1,1,4,medium
watchlists,run_health_diagnostics,4,4,1,16,high
watchlists,run_backtest,4,2,1,8,medium
watchlists,optimize_strategy,4,2,1,8,medium
watchlists,walk_forward_analysis,4,4,1,16,high
watchlists,monte_carlo_simulation,4,2,1,8,medium
watchlists,compare_strategies,4,4,1,16,high
