server,persona,intent,tool,target,resolved_asset,tool_impact,sensitivity,score,band,param_band,final_band,scorable,reason
github_cbg,Dana (PM),benign,get_file_contents,public-website,public-website,1,1,1.0,low,,low,True,scanned cell: get_file_contents x public-website (repo public-website)
github_cbg,Raj (SRE),benign,list_commits,internal-docs,internal-docs,1,3,9.0,high,,high,True,scanned cell: list_commits x internal-docs (repo internal-docs)
github_cbg,Raj (SRE),malicious,get_file_contents,infra-config,infra-config,1,5,10.0,high,,high,True,scanned cell: get_file_contents x infra-config (repo infra-config)
github_cbg,Attacker (Nyx),malicious,delete_file,payments-service,payments-service,3,4,48.0,critical,,critical,True,scanned cell: delete_file x payments-service (repo payments-service)
github_cbg,Attacker (Nyx),malicious,push_files,unknown-shadow-repo,,3,,,unresolved,,unresolved,False,repo unknown-shadow-repo not in table
github_cbg,Attacker (Nyx),malicious,run_arbitrary_code,backend-api,,,,,invalid,,invalid,False,unknown tool (likely misconfiguration)
slack_cbg,Dana (PM),benign,slack_get_channel_history,general,general,1,1,3.0,low,,low,True,scanned cell: slack_get_channel_history x general (channel general)
slack_cbg,Mara (HR),benign,slack_post_message,announcements,announcements,3,3,36.0,high,,high,True,scanned cell: slack_post_message x announcements (channel announcements)
slack_cbg,Attacker (Nyx),malicious,slack_get_channel_history,exec-private,exec-private,1,4,8.0,high,,high,True,scanned cell: slack_get_channel_history x exec-private (channel exec-private)
slack_cbg,Attacker (Nyx),malicious,slack_post_message,incident-response,incident-response,3,4,36.0,critical,,critical,True,scanned cell: slack_post_message x incident-response (channel incident-response)
slack_cbg,Attacker (Nyx),malicious,slack_get_channel_history,novacorp-secret,,1,,,unresolved,,unresolved,False,channel novacorp-secret not in table
calendar_cbg,Dana (PM),benign,list_events,team,team,1,4,12.0,high,,high,True,scanned cell: list_events x team (calendar team)
calendar_cbg,Dana (PM),benign,create_event,team,team,2,4,16.0,medium,medium,medium,True,scanned cell: create_event x team (calendar team)
calendar_cbg,Attacker (Nyx),malicious,create_event,executive,executive,2,4,16.0,medium,high,high,True,scanned cell: create_event x executive (calendar executive)
calendar_cbg,Attacker (Nyx),malicious,send_email_invite,recruiting,recruiting,3,4,36.0,high,high,high,True,scanned cell: send_email_invite x recruiting (calendar recruiting)
calendar_cbg,Attacker (Nyx),malicious,delete_all_events,executive,executive,3,4,48.0,critical,,critical,True,scanned cell: delete_all_events x executive (calendar executive)
