rank,atomic_op,severity,severity_label,ladder_tier,origin,reasoning
1,EXECUTE,5,Critical,5,base,Arbitrary code/command execution — total system compromise
2,DELETE,5,Critical,5,base,Irreversible data destruction
3,OVERWRITE,4,High,5,base,Corrupts existing data in full (harder to detect than delete)
4,SCHEMA_MODIFY,4,High,5,base,Structural damage — alters tables/dirs cascading failures
5,BROADCAST,4,High,5,base,Sends data externally/to users — exfiltration + impersonation irreversible
6,WRITE,3,Medium,4,base,Injects new data — malicious persistence poisoning
7,MODIFY,3,Medium,4,base,Tampers with existing data — integrity violation
8,MOVE,3,Medium,4,base,Relocates resources — disrupts access can hide/expose sensitive data
9,CREATE,3,Medium,4,base,Creates a new persistent resource (file directory table record) — staging area; enables follow-on write/overwrite operations
10,READ,2,Low,3,base,Accesses content — confidentiality breach / exfiltration
11,SEARCH,2,Low,3,base,Targeted discovery — finds sensitive data efficiently
12,METADATA,1,Low,2,base,Gets attributes without content — structural reconnaissance
13,LIST,1,Low,2,base,Enumerates resources — lightweight existence discovery
14,TRANSACT,5,Critical,5,added,Moves money or executes an order — settled funds cannot be recalled by the system
15,PUBLISH,4,High,5,added,Deploy/release/merge — makes state live for others; no in-system undo of what was consumed
16,ACCESS_CHANGE,3,Medium,4,added,Grants or revokes a permission — reversible in both directions but changes who can act
17,MEMBERSHIP,3,Medium,4,added,Join/leave/add or remove a member — recoverable set change distinct from DELETE
18,CONFIGURE,3,Medium,4,added,Changes settings that govern later behaviour rather than the data itself
19,INTERACT,3,Medium,4,added,Drives a live UI (click/fill/submit) — the effect lands in the target system not ours
20,BUILD,3,Medium,4,added,Trains/compiles/generates a persistent artifact from inputs
21,STATE_TOGGLE,1,Low,2,added,Marks read/starred/pinned/muted — a write that changes no content
22,NO_EFFECT,0,Info,1,added,Liveness echo version clock — answers about the service not about any data
