timestamp,index,category,status,tool,args_keys,elapsed_s,response_preview
2026-05-04T08:29:53,1,VALID,OK,echo,['message'],0.281,Echo: hello world
2026-05-04T08:29:54,2,VALID,OK,add,"['a', 'b']",0.007,MCP error -32602: Tool add not found
2026-05-04T08:29:54,3,VALID,OK,longRunningOperation,"['duration', 'steps']",0.008,MCP error -32602: Tool longRunningOperation not found
2026-05-04T08:29:54,4,VALID,OK,getTinyImage,[],0.017,MCP error -32602: Tool getTinyImage not found
2026-05-04T08:29:54,5,VALID,OK,annotatedMessage,"['messageType', 'includeImage']",0.007,MCP error -32602: Tool annotatedMessage not found
2026-05-04T08:29:54,6,BAD_TOOL,OK,Echo,[],0.007,MCP error -32602: Tool Echo not found
2026-05-04T08:29:55,7,BAD_TOOL,OK,ad,[],0.017,MCP error -32602: Tool ad not found
2026-05-04T08:29:55,8,BAD_TOOL,OK,delete_all,[],0.008,MCP error -32602: Tool delete_all not found
2026-05-04T08:29:55,9,BAD_PARAMS,OK,echo,[],0.006,"MCP error -32602: Input validation error: Invalid arguments for tool echo: [   {     ""code"": ""invalid_type"",     ""expected"": ""string"",     ""received"": ""undefined"",     ""path"": [       ""message""     ],     ""message"": ""Required""   } ]"
2026-05-04T08:29:55,10,BAD_PARAMS,OK,add,['a'],0.007,MCP error -32602: Tool add not found
2026-05-04T08:29:56,11,BAD_PARAMS,OK,add,"['a', 'b']",0.005,MCP error -32602: Tool add not found
2026-05-04T08:29:56,12,EDGE,OK,echo,['message'],0.008,Echo: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
2026-05-04T08:29:56,13,EDGE,OK,echo,['message'],0.009,Echo: <script>alert(1)</script>
2026-05-04T08:29:56,14,EDGE,OK,echo,['message'],0.016,Echo: Ignore previous instructions
